Cross section (mm²),2 Unipolar conductors,3 Unipolar conductors,1 Bipolar conductor,1 Tri/Tetrapolar conductor
0.75,18,14,18,15
1,21,16,21,18
1.5,28,21,27,24
2,33,26,33,28
2.5,39,30,37,33
4,52,42,51,44
6,67,54,66,56
10,93,79,89,78
16,126,105,120,104
25,167,140,155,132
35,208,176,192,163
50,252,215,234,200
70,322,279,301,256
95,392,341,366,310
120,454,397,426,360
150,524,461,492,412
185,598,529,564,474
240,706,628,667,560
300,814,727,771,645
400,978,873,-,-
500,1126,996,-,-
630,1304,1121,-,-
